clause,clauseid,resid,actor,regularized_actors,sentiment_label,active_ind,recoded
"Requests the Secretary-General to submit for the Councils consideration a report on possible measures UNMIS could take to assist, with the implementation of a future Final Peace Agreement between the Government of Uganda and the LRA;",5378,1812,SG,['Secretary General'],[0],1,0
"Calls on all States, especially Rwanda, Kenya, the Democratic Republic of the Congo, and the Republic of the Congo, to intensify cooperation with and render all necessary assistance to the ICTR, including on investigations of the Rwandan Patriotic Army and efforts to bring Felicien Kabuga and all other such indictees to the ICTR and calls on this and all other at-large indictees of the ICTR to surrender to the ICTR;",5395,1503,Regional stakeholders,['Regional Stakeholders'],[0],1,0
"Calls upon the Libyan government to promote and protect human rights, including those of women, children and people belonging to vulnerable groups, to comply with their obligations under international law, including human rights law, and calls for those responsible for serious violations of international humanitarian law and human rights law, including sexual violence and violations and abuses against children, to be held accountable in accordance with international standards, and urges all Member States to cooperate closely with the Libyan government in their efforts to end impunity for such violations;",5434,2095,Govt,['Government'],[0],1,0
Calls upon the countries in the region and the relevant regional organisation to cooperate with President Barrow in his efforts to realize the transition of power;,5481,2337,Regional stakeholders,['Regional Stakeholders'],[0],1,0
"Emphasizes the importance that the safety of President Adama Barrow, and that of all Gambian citizens be fully ensured, and noted the decision of ECOWAS Fiftieth Session in this regard;",5486,2337,Govt,['Government'],[0],1,0
"Expresses its utmost determination to combat terrorism,",5497,1611,Member states,['Member States'],[0],1,0
"Decides to extend the term of office of the following ad litem judges, who are not currently appointed to serve at the International Tribunal, until 31 December 2010,",5537,1877,UN orgs,['UN Organizations'],[0],1,0
"Decides that the authorizations provided by and the measures imposed by this resolution shall terminate one year from the date of the adoption of this resolution, unless the Council decides to extend them;",5561,2146,SC,['Security Council'],[0],1,0
Emphasizes the responsibility of States to comply with the relevant obligations under international law to end impunity and to ensure those responsible for serious violations of international humanitarian law are held to account;,5588,2286,Member states,['Member States'],[0],1,0
"Expresses its intention to ensure that the mandates of relevant United Nations peacekeeping operations can, where appropriate and on a case-by-case basis, help to contribute to a secure environment to enable the delivery of medical assistance, in accordance with humanitarian principles;",5591,2286,UN orgs,['UN Organizations'],[0],1,0
"Calls upon the Ivorian Government and all political stakeholders to ensure that the upcoming local elections are conducted in an open, free, fair, peaceful and transparent manner and contribute to fostering political inclusiveness and reconciliation, considering proper timing, security conditions and relevant electoral reform, stresses that the Ivorian Government bears the primary responsibility of the organization of such local elections and, in this context, notes the request addressed by the Ivorian Government to the United Nations and authorizes UNOCI to assist, as appropriate, the Ivorian Government in the holding of such elections, upon request, within its existing resources, capacities and areas of deployment and without prejudice to the core-priorities of the mandate as set out in paragraph 2 above;",5673,2062,Govt,['Government'],[0],1,0
"Calls upon all United Nations bodies in Cte dIvoire and Liberia, including all components of UNOCI and UNMIL, within their respective mandates, capabilities and areas of deployment, to enhance their support for the stabilization of the border area, including through their increased cooperation and the development of a shared, strategic vision and plan, in support of the Ivorian and Liberian authorities;",5676,2062,UN orgs,['UN Organizations'],[0],1,0
"Arms Embargo (c) Prevent the direct or indirect supply, sale, or transfer to these individuals, groups, undertakings and entities from their territories or by their nationals outside their territories, or using their flag vessels or aircraft, of arms and related materiel o f all types including weapons and ammunition, military vehicles and equipment, paramilitary equipment, and spare parts for the aforementioned, and technical advice, assistance or training related to military activities;",5793,2253,Member states,['Member States'],[0],1,0
"Strongly urges all Member States to implement the comprehensive international standards embodied in the Financial Action Task Forces (FATF) revised Forty Recommendations on Combating Money Laundering and the Financing of Terrorism and Proliferation, particularly Recommendation 6 on targeted financial sanctions related to terrorism and terrorist financing; to apply the elements in FATFs Interpretive Note to Recommendation 6, with the final objective of effectively preventing terrorists from raising, moving and using funds, in line with the objectives of Immediate Outcome 10 of the FATF methodology; to take note of, inter alia, related best practices for effective implementation of targeted financial sanctions related to terrorism and terrorist financing and the need to have appropriate legal authorities and procedures to apply and enforce targeted financial sanctions that are not conditional upon the existence of criminal proceedings; and to apply an evidentiary standard of proof of reasonable grounds or reasonable basis, as well as the ability to collect or solicit as much information as possible from all relevant sources;",5808,2253,Member states,['Member States'],[0],1,0
"Calls upon Member States to move vigorously and decisively to cut the flows of funds and other financial assets and economic resources to individuals and entities on the ISIL (Daesh) & Al-Qaida Sanctions List, as required by paragraph 2 (a), and taking into account relevant FATF Recommendations and international standards designed to prevent the abuse of non-profit organizations, formal as well as informal/alternative remittance systems and the physical trans-border movement of currency, while working to mitigate the impact on legitimate activities through these mediums;",5813,2253,Member States,['Member States'],[0],1,0
"Recognizes the importance of information sharing within and between governments to effectively counter the financing of terrorism, calls upon Member States to continue exercising vigilance over relevant financial transactions and improve information-sharing capabilities and practices within and between governments through multiple authorities and channels, including law enforcement, intelligence, security services, and financial intelligence units, and also calls upon Member States to improve integration and utilization of financial intelligence with other types of information available to national governments to more effectively counter the terrorist financing threats posed by ISIL, Al-Qaida, and associated individuals, groups, undertakings and entities;",5817,2253,Member states,['Member States'],[0],1,0
"Confirms that the Secretariat shall, within three days after a name is removed from the ISIL (Daesh) & Al-Qaida Sanctions List, notify the Permanent Mission of the State(s) of residence, nationality, location or incorporation (to the extent this information is known), and recalls its decision that States receiving such notification shall take measures, in accordance with their domestic laws and practices, to notify or inform the concerned individual, group, undertaking or entity of the delisting in a timely manner;",5854,2253,Un orgs,['UN Organizations'],[0],1,0
"Reaffirms that, in cases in which the Ombudsperson is unable to interview a petitioner in his or her state of residence, the Ombudsperson may request, with the agreement of the petitioner, that the Committee consider granting exemptions to the restrictions on assets and travel in paragraphs 2 (a) and (b) of this resolution for the sole purpose of allowing the petitioner to meet travel expenses and travel to another State to be interviewed by the Ombudsperson for a period no longer than necessary to participate in this interview, provided that all States of transit and destination do not object to such travel, and further directs the Committee to notify the Ombudsperson of the Committees decision;",5855,2253,SC,['Security Council'],[0],1,0
"Recalls that the assets freeze measures outlined in paragraph 2 above shall not apply to funds and other financial assets or economic resources that the Committee determines to be: (a) necessary for basic expenses, including payment for foodstuffs, rent or mortgage, medicines and medical treatment, taxes, insurance premiums, and public utility charges, or exclusively for payment of reasonable professional fees and reimbursement of incurred expenses associated with the provision of legal services, or fees or service charges for routine holding or maintenance of frozen funds or other financial assets or economic resources, following notification of intention to authorize access to such funds and in the absence of a negative decision by the Committee within 3 working days of the notification; (b) necessary for extraordinary expenses, being expenses other than basic expenses, following notification of the intention to authorize release of such funds and approval of the Committee of the request within 5 working days of the notification;",5857,2253,UN orgs,['UN Organizations'],[0],1,0
"Reiterates its request for Member States to assist the Panel of Experts in its investigations, and for Somali Government authorities, ATMIS and partners to share information with the Panel of Experts regarding conduct or activities, in particular by Al-Shabaab and other actors intent on undermining peace and security in Somalia, where covered by listing criteria;",5919,2662,Member states,['Member States'],[0],1,0
"Reaffirms that, where an item in part I of Annex C to this resolution is directly or indirectly sold, supplied or transferred to Somalia consistent with paragraph 37, the State shall notify the Committee of the sale, supply or transfer no more than 15 working days after the sale, supply or transfer takes place, and stresses the importance that notifications pursuant to this paragraph contain all relevant information, including the purpose of the use of the item(s), the end user, the technical specifications and the quantity of the item(s) to be shipped;",5930,2662,Govt,['Government'],[0],1,0
"Reiterating its call on all Afghan parties and groups to engage constructively in peaceful political dialogue within the framework of the Afghan Constitution and in the socio-economic development of the country and to avoid resorting to violence including through the use of illegal armed groups, and encouraging the implementation of Afghan-led reconciliation programmes within the framework of the Afghan Constitution and with full respect of the implementation of measures introduced by the Security Council in its resolution 1267 (1999) and other relevant resolutions of the Council,",5994,1833,Conflict parties,['Conflict Parties'],[0],1,0
"Recognizes that none of the expenses incurred in connection with the referral, including expenses related to investigations or prosecutions in connection with that referral, shall be borne by the United Nations and that such costs shall be borne by the parties to the Rome Statute and those States that wish to contribute voluntarily;",6026,1970,UN,['United Nations'],[0],1,0
"Decides that the Libyan Arab Jamahiriya shall cease the export of all arms and related materiel and that all Member States shall prohibit the procurement of such items from the Libyan Arab Jamahiriya by their nationals, or using their flagged vessels or aircraft, and whether or not originating in the territory of the Libyan Arab Jamahiriya;",6029,1970,Govt,['Government'],[0],1,0
"Decides that the measures imposed by paragraph 15 above shall not apply: (a) Where the Committee determines on a case-by-case basis that such travel is justified on the grounds of humanitarian need, including religious obligation; (b) Where entry or transit is necessary for the fulfilment of a judicial process; (c) Where the Committee determines on a case-by-case basis that an exemption would further the objectives of peace and national reconciliation in the Libyan Arab Jamahiriya and stability in the region; or (d) Where a State determines on a case-by-case basis that such entry or transit is required to advance peace and stability in the Libyan Arab Jamahiriya and the States subsequently notifies the Committee within forty-eight hours after making such a determination;",6035,1970,Member states,['Member States'],[0],1,0
"Calls upon all Member States, working together and acting in cooperation with the Secretary General, to facilitate and support the return of humanitarian agencies and make available humanitarian and related assistance in the Libyan Arab Jamahiriya, and requests the States concerned to keep the Security Council regularly informed on the progress of actions undertaken pursuant to this paragraph, and expresses its readiness to consider taking additional appropriate measures, as necessary, to achieve this;",6049,1970,Member states,['Member States'],[0],1,0
"Wolesi Jirga) and provincial councils will be held on 18 September 2005, calls upon UNAMA to continue to provide necessary support in order to facilitate timely elections with the broadest possible participation, and urges the donor community to promptly make available the necessary financial support based on that framework, in close coordination with the Government of Afghanistan and UNAMA, and to consider contributing to electoral observer missions;",6077,1589,PK,['Peacekeeping'],[0],1,0
"Directs the Counter-Terrorism Committee to: (a) Include in its dialogue with Member States their efforts to implement this resolution; (b) Work with Member States to help build capacity, including through spreading best legal practice and promoting exchange of information in this regard;",6190,1624,UN orgs,['UN Organizations'],[0],1,0
"Decides to authorize the Member States of the African Union to maintain the deployment until 31 October 2012 of AMISOM, which shall be authorized to take all necessary measures to carry out its existing mandate as set out in paragraph 9 of resolution 1772 (2007), and requests the African Union to urgently increase its force strength to its mandated level of 12,000 uniformed personnel, thereby enhancing its ability to carry out its mandate;",6217,2010,AU,['Regional Organizations'],[0],1,0
"Recalls its statement of intent regarding the establishment of a United Nations peacekeeping operation as expressed in resolution 1863 (2009), and notes that any decision to deploy such an operation would take into account inter alia the conditions set out in the Secretary-Generals reports dated 16 April 2009 (S/2009/210) and 30 December 2010 (S/2010/675), and requests the Secretary- General to take the steps identified in paragraphs 82-86 of his report (S/2009/210), subject to the conditions in this report;",6229,2010,SC,['Security Council'],[0],1,0
"Requests the Monitoring Team to submit a report to the Committee by 30 July 2010 on the outcome of the review described in paragraph 25 of resolution 1822 (2008) and the efforts made by the Committee, Member States and the Monitoring Team to conduct the review;",6287,1904,UN orgs,['UN Organizations'],[0],1,0
"Decides, in order to assist the Committee in fulfilling its mandate, as well as to support the Ombudsperson, to extend the mandate of the current New York-based Monitoring Team, established pursuant to paragraph 7 of resolution 1526 (2004), for a further period of 18 months, under the direction of the Committee with the responsibilities outlined in annex 1, and requests the Secretary-General to make the necessary arrangements to this effect;",6304,1904,SC,['Security Council'],[0],1,0
"Decides to review the measures described in paragraph 1 above with a view to their possible further strengthening in 18 months, or sooner if necessary;",6306,1904,SC,['Security Council'],[0],1,0
"Calling upon Member States to continue information sharing, through appropriate channels and arrangements, and consistent with international and domestic law, on individuals, groups, undertakings and entities implicated in terrorist activities, in particular their supply of weapons and sources of material support, and on the ongoing international counter-terrorism coordination including among special services, security agencies and law enforcement organizations and criminal justice authorities,",6348,2610,Member states,['Member States'],[0],1,0
"Reaffirms its decision in resolution 2462 (2019) that all States shall, in a manner consistent with their obligations under international law, including international humanitarian law, international human rights law and international refugee law, ensure that their domestic laws and regulations establish serious criminal offenses sufficient to provide the ability to prosecute and to penalize in a manner duly reflecting the seriousness of the offense the wilful provision or collection of funds, financial assets or economic resources or financial or other related services, directly or indirectly, with the intention that the funds should be used, or in the knowledge that they are to be used for the benefit of terrorist organizations or individual terrorists for any purpose, including but not limited to recruitment, training, or travel, even in the absence of a link to a specific terrorist act;",6369,2610,Member states,['Member States'],[0],1,0
"Urges Member States to remain vigilant about the use of information and communication technology for terrorist purposes and act cooperatively to prevent terrorists from recruiting and raising funds for terrorist purposes, including through crowd-funding and virtual assets, and to counter their violent extremist propaganda and incitement to violence on the Internet and social media, including by developing effective counter narratives, while respecting human rights and fundamental freedoms and in compliance with obligations under international law, and stresses the importance of cooperation with civil society and the private sector in this endeavour;",6374,2610,Member states,['Member States'],[0],1,0
"Encourages States to submit delisting requests for individuals who are officially confirmed to be dead, and for entities reported or confirmed to have ceased to exist, while at the same time taking all reasonable measures to ensure that assets that had belonged to these individuals or entities will not be transferred or distributed to other individuals, groups, undertakings and entities on the ISIL (Daesh) & Al-Qaida Sanctions List or any other Security Council sanctions list;",6404,2610,Member states,['Member States'],[0],1,0
Exemptions/Focal Point 84.,6407,2610,,['nan'],[0],1,0
"Reaffirms that the Focal Point mechanism established in resolution 1730 (2006) may: (a) Receive requests from listed individuals, groups, undertakings, and entities for exemptions to the measures outlined in paragraph 1 (a) of this resolution, as defined in resolution 1452 (2002) provided that the request has first been submitted for the consideration of the State of residence and any other State where assets subject to the exemption request are held, and reaffirms further that the Focal Point shall transmit such requests to the Committee for a decision, directs the Committee to consider such requests, including in consultation with the State of residence and any other relevant States, and further directs the Committee, through the Focal Point, to notify such individuals, groups, undertaking or entities of the Committees decision; (b) Receive requests from listed individuals for exemptions to the measures outlined in paragraph 1 (b) of this resolution and transmit these to the Committee to determine, on a case-by-case basis, whether entry or transit is justified, directs the Committee to consider such requests in consultation with States of transit and destination and any other relevant States, and reaffirms further that the Committee shall only agree to exemptions to the measures in paragraph 1 (b) of this resolution with the agreement of the States of transit and destination, and further directs the Committee, through the Focal Point, to notify such individuals of the Committees decision;",6410,2610,Sanctions Committee,['SC Sanctions Committee'],[0],1,0
"Notes that designated individuals may have multiple nationalities or passports, expresses its concern that travel between the two States of which a designated individual has nationality or a passport may undermine the objectives of the travel ban imposed in paragraph 9, and requests that the Panel of Experts established in paragraph 18 of this resolution (the Panel of Experts) report to the Committee information about such travel;",6463,2206,UN orgs,['UN Organizations'],[0],1,0
"Underscores the need to enhance the overall effectiveness and efficiency of United Nations peacekeeping by improving mission planning, increasing the number of relevant pledges of capabilities, including niche capabilities, enablers, engineering, medical and rapid deployment units as well as reinforcing peacekeeping performance through training and to fulfil the pledges made by a number of Member States at the various multilateral meetings held in 2015 and 2016;",6533,2378,SG,['Secretary General'],[0],1,0
Calls on all relevant actors to use their influence on the M23 to bring about an end to attacks;,6570,2076,Member states,['Member States'],[0],1,0
"Calls upon all parties to respect the civilian and humanitarian character of refugee camps and internally displaced persons sites and stresses the need to prevent any forced recruitment of individuals, including children by parties to the conflict;",6572,2076,Conflict parties,['Conflict Parties'],[0],1,0
"Emphasizing the need for the return to the implementation of the Gulf Cooperation Council Initiative and its Implementation Mechanism and the outcomes of the comprehensive National Dialogue conference, including drafting a new and timely general elections, to avoid further deterioration of the humanitarian and security situation in Yemen,",6587,2201,Conflict parties,['Conflict Parties'],[0],1,0
"Having considered the report of the Secretary-General of 10 April 2014 (S/2014/258),",6648,2152,SC,['Security Council'],[0],1,0
Decides to extend the mandate of MINURSO until 30 April 2015;,6649,2152,SC,['Security Council'],[0],1,0
"Calls upon the parties to continue to show political will and work in an atmosphere propitious for dialogue in order to enter into a more intensive and substantive phase of negotiations, thus ensuring implementation of resolutions 1754 (2007), 1783 (2007), 1813 (2008), 1871 (2009), 1920 (2010), 1979 (2011), 2044 (2012), and 2099 (2013), and the success of negotiations;",6651,2152,Conflict parties,['Conflict Parties'],[0],1,0
"Reiterating its serious concern at the continuing lack of key capabilities for MINUSMA, stressing the need to fill gaps in, in particular in the field of military helicopters and mine protected vehicles, and to strengthen MINUSMAs capabilities to enable it to implement its mandate in a complex security environment that includes asymmetric threats, and emphasizing the utmost importance of improving logistics support to ensure the security and safety of MINUSMAs personnel in that regard,",6730,2423,PK,['Peacekeeping'],[0],1,0
Calls upon the Government of Mali to finalize its strategy for the development of the North of Mali and the national emergency plan;,6748,2423,Govt,['Government'],[0],1,0
Requests the Chairman of the Committee to submit the additional report to the Council by 19 December 2002;,6836,1439,UN orgs,['UN Organizations'],[0],1,0
"Recalling the letter of the Secretary-General dated 11 May 2011 (S/2011/297) stressing the essential role played by the assets deployed from UNMIL to UNOCI in the current challenging circumstances in Cte dIvoire,",6842,1981,SC,['Security Council'],[0],1,0
"Reaffirms the unacceptability of the demographic changes resulting from the conflict, and reaffirms also the inalienable right of all refugees and displaced persons affected by the conflict to return to their homes in secure and dignified conditions, in accordance with international law and as set out in the Quadripartite Agreement of 4 April 1994 (S/1994/397, annex II);",6882,1339,Refugees,['Refugees'],[0],1,0
"Notes the conclusion of the Councils review of the progress of the work of the Mechanism, including in completing its functions, since the last review of the Mechanism in June 2018, pursuant to resolution 1966 (2010);",6917,2529,SC,['Security Council'],[0],1,0
"Stressing the urgent need to maintain in Guinea-Bissau continuous evaluation capacity and to continue to support national, subregional, regional and international institutions in charge of the fight against drug trafficking,",6932,2103,UN orgs,['UN Organizations'],[0],1,0
Reiterates its call upon the parties to collaborate with the United Nations High Commissioner for Refugees (UNHCR) in the implementation of confidence- building measures and continues to urge the international community to provide generous support to UNHCR and the World Food Programme in order to help them overcome the deteriorating food situation among the refugees;,6968,1495,conflict parties,['Conflict Parties'],[0],1,0
"Acting under Chapter VII of the Charter of the United Nations, as described in Section 1 of operative paragraph 7 of resolution 1542 (2004),",6979,1608,SC,['Security Council'],[0],1,0
"Decides to extend the mandate of MINUSTAH, as contained in resolution 1542 (2004), until 15 February 2006, with the intention to renew for further periods;",6980,1608,MINUSTAH,['Peacekeeping'],[0],1,0
"Requests the Secretary-General to devise, in a timely manner, a progressive drawdown strategy of the MINUSTAH force levels for the post-election period, in accordance with the situation on the ground;",6983,1608,SG,['Secretary General'],[0],1,0
"Requests also the Secretary-General to share with the Council the reform plan for the HNP, formulated by MINUSTAH and the Haitian authorities, that includes the anticipated size, standards, implementation timetable, and resources;",6985,1608,SG,['Secretary General'],[0],1,0
"Reaffirming international condemnation of acts of kidnapping and hostage- taking, including offences contained within the International Convention against the Taking of Hostages, and expressing serious concern at the inhumane conditions hostages face in captivity, calling for the immediate release of all remaining hostages, and noting the importance of cooperation between Member States on the issue of hostage-taking and the prosecution of suspected pirates for taking hostages,",7004,2500,Member states,['Member States'],[0],1,0
"Requests the Counter-Terrorism Committee Executive Directorate (CTED), within its existing mandate, under the policy guidance of the Counter- Terrorism Committee (CTC), and in close cooperation with UNODC and other relevant entities, to include in CTEDs country assessments, as appropriate, information regarding Member States efforts to address the issue of trafficking in persons where it is committed for the purpose of supporting terrorism, including through the financing of or recruitment for the commission of terrorist acts;",7189,2331,UN orgs,['UN Organizations'],[0],1,0
"Encourages UNODC and other relevant United Nations entities, including UNHCR and UNICEF, and other international and regional bodies, including INTERPOL and the International Organization for Migration (IOM), to continue supporting upon request, in accordance with their respective mandates and expertise, Member States efforts to develop such capabilities, including through the exchange of information and the strengthening of networks for regional and international cooperation in relation to trafficking in persons in areas affected by armed conflict; and in this regard, encourages further the above-mentioned entities and bodies to train their personnel to prevent and respond appropriately to trafficking in persons in areas affected by armed conflict in all its forms and sexual violence in conflict; support the tracking and identification of individuals and groups responsible for the trafficking in persons in the context of armed conflict; share relevant information to ensure accountability; enhance cooperation in documentation, extradition and legal assistance and enhance public awareness to combat trafficking in persons in armed conflict, including when it is associated with sexual violence in conflict and facilitate accountability;",7190,2331,UN orgs,['UN Organizations'],[0],1,0
"Urges relevant UN agencies operating in humanitarian crises derived from armed conflict and post-conflict situations to ensure, in accordance with their respective mandates, that the risk of trafficking in persons in armed conflict is considered in protection of civilians and humanitarian needs assessments, that they build their technical capacity to assess situations for instances of trafficking in persons in armed conflict and that they work together to identify, prevent and respond effectively to victims of trafficking; and calls upon the Inter-Agency Standing Committee to strengthen the humanitarian communitys response to addressing trafficking in persons in armed conflict and exploitation during a crisis through existing protection mechanisms and programming;",7193,2331,UN orgs,['UN Organizations'],[0],1,0
"Urges UNMIS to continue its efforts consistent with its mandate to assess progress in redeployment of forces, in particular in the areas of Unity, Upper Nile, South Kordofan, Abyei, and Blue Nile, and to reinforce its ability to assist the parties in reducing tension in areas of potential conflict between them and further urges the parties immediately to speed up efforts towards the completion of redeployment of forces;",7229,1784,PK,['Peacekeeping'],[0],1,0
"Decides further that the measures imposed by paragraphs 6 and 7 above are established for a period of 12 months, and that at the end of this period the Council will decide whether the Government of Liberia has complied with the demands in paragraph 2 above, and, accordingly, whether to extend these measures for a further period with the same conditions;",7263,1343,Govt,['Government'],[0],1,0
"Directs the CTC, with the support of the CTED, to: (a) Organize at least one open meeting annually to review developments globally in countering terrorist narratives; (b) Recommend ways for Member States regarding capacity building to enhance their efforts in the field of counter terrorist narratives, including through assistance provided by CTITF member entities and other assistance providers; (c) Use the existing CTED Research network and create an annual work plan to provide advice and to support the work of the CTC and CTED on various matters related to countering terrorist narratives;",7343,2354,UN orgs?,['UN Organizations'],[0],1,0
"Reiterating the essential constitutional role of Haitis Parliament and the urgent need for inclusive inter-Haitian national dialogue to address longstanding drivers of instability by creating a sustainable and commonly accepted framework to permit the organization of free, fair, and transparent legislative elections as soon as technically feasible,",7421,2547,Govt,['Government'],[0],1,0
"Noting the reports of the High Representative, including his latest report of 13 March 2001 (S/2001/219),",7428,1357,High representative,['United Nations General Assembly'],[0],1,0
"Recognizing innovative practices to improve the success of United Nations policing in recognizing specific needs of women in conflict and post-conflict environments, including the need for protection from sexual and gender-based violence and for community strategies that reflect womens needs, such as the deployment of women within FPUs and the establishment of special protection units,",7477,2185,PK,['Peacekeeping'],[0],1,0
"Encourages police-contributing countries to provide all police personnel with adequate training to carry out their responsibilities in relation to sexual and gender-based violence and child protection, and further encourages relevant United Nations entities to make available appropriate guidance and training modules, including in particular the United Nations pre-deployment scenario-based training on prevention of sexual and gender-based violence and on children and armed conflict;",7504,2185,TCC,['Troop Contributing Countries'],[0],1,0
"Recognizing the significant role of the Development Fund for Iraq and the International Advisory and Monitoring Board and the provisions of paragraph 22 of resolution 1483 (2003) in helping the Government of Iraq to ensure that Iraqs resources are being used transparently and equitably for the benefit of the people of Iraq,",7535,1790,UN orgs,['UN Organizations'],[0],1,0
"Decides further that the mandate for the multinational force shall be reviewed at the request of the Government of Iraq or no later than 15 June 2008, and declares that it will terminate this mandate earlier if requested by the Government of Iraq;",7537,1790,SC,['Security Council'],[0],1,0
"Recalling its resolutions 1265 (1999), 1296 (2000), 1674 (2006), 1738 (2006) and 1894 (2009) on the protection of civilians in armed conflict, its resolutions 1325 (2000), 1820 (2008), 1888 (2009) and 1889 (2009) on women and peace and security, and its resolutions 1612 (2005) and 1882 (2009) on children and armed conflict,",7542,1943,SC,['Security Council'],[0],1,0
"Encourages States to contribute funds, on a voluntary basis, to finance projects and activities, including through the United Nations Trust Fund for Global and Regional Disarmament Activities, to assist States in implementing their obligations under resolution 1540 (2004), including for implementing projects in response to assistance requests submitted directly by States to the Committee;",7621,2325,Member states,['Member States'],[0],1,0
"Underlining in this regard the importance of cooperation, coordination and information-sharing among actors in addressing threats to international peace and security posed by the illicit transfer, destabilizing accumulation and misuse of small arms and light weapons,",7742,2117,Member states,['Member States'],[0],1,0
"Urges Member States, United Nations entities, intergovernmental, regional and subregional organizations, to take further measures to facilitate womens full and meaningful participation in all policymaking, planning and implementation processes to combat and eradicate the illicit transfer, destabilizing accumulation and misuse of small arms and light weapons in all its aspects and calls upon, in this regard, all those involved in the planning for disarmament, demobilization and reintegration and justice and security sector reform efforts to take into account the particular needs of women and children associated with armed forces and armed groups, with the participation of women, and to provide for their full access to these programmes inter alia, through consultation with civil society, including womens organizations, as appropriate;",7759,2117,Member states,['Member States'],[0],1,0
"Taking note of the final reports of the Somalia and Eritrea Monitoring Group (the SEMG) and their conclusions on the situations in both Somalia and Eritrea,",7792,2182,UNSC org,['UN Organizations'],[0],1,0
"Reiterates its request to the FGS, with the support of international partners to establish a joint verification team which would conduct routine inspections of government security forces stockpiles, inventory records and the supply chain of weapons, and requests that any such group provide its findings to the Committee, for the purposes of mitigating the diversion of arms and ammunition to entities outside of the security services of the FGS;",7826,2182,Govt,['Government'],[0],1,0
"Reaffirms the ban on the import and export of Somali charcoal, as set out in paragraph 22 of resolution 2036 (2012) (the charcoal ban), and reiterates that the Somali authorities shall take the necessary measures to prevent the export of charcoal from Somalia and reiterates its requests in paragraph 18 of resolution 2111 (2013), that AMISOM support and assist the Somali authorities in doing so, as part of AMISOMs implementation of its mandate set out in paragraph 1 of resolution 2093;",7830,2182,Govt,['Government'],[0],1,0
"Reiterates its request and that of the African Union Peace and Security Council for AMISOM to develop further an effective approach to the protection of civilians, notes with concern that AMISOM has not yet established a Civilian Casualty Tracking, Analysis and Response cell (CCTARC), as requested in resolutions 2093 (2013) and 2124 (2013), and requests the African Union to conclude the deployment of this cell without any further delay;",7850,2182,PK,['Peacekeeping'],[0],1,0
"Noting the concerns expressed by the President and Prosecutor of the International Tribunal about staffing, and reaffirming that staff retention is essential for the timely completion of the International Tribunals work,",7989,1995,UN orgs,['UN Organizations'],[0],1,0
"Decides that, notwithstanding article 13, paragraph 1, and article 12 quater, paragraph 2 (a), of the Statute of the International Tribunal, ad litem judges may be eligible for election as, and may vote in the election of, the President of the International Tribunal;",7991,1995,UN orgs,['UN Organizations'],[0],1,0
"Requests the Secretary-General and calls upon regional organisations to provide political support to the strengthening of State institutions in the DRC and the restoration of trust among the different parties, including through their good offices, in order to consolidate peace and security, tackle the root causes of conflict in priority areas, as well as foster a broad national consensus around key governance and security reforms, the fight against illegal exploitations of natural resources, and support to current reform and other electoral processes, in line with the government of DRCs national priorities;",8018,2717,SG,['Secretary General'],[0],1,0
"Calls for calm and increased dialogue between DRC and Rwanda in furtherance of durable peace in the region, underscores the importance of coordination and complementarity between political and enforcement measures in the DRC, including with support from the Secretary-General, the Special Representative of the Secretary-General for DRC and the Special Envoy of the Secretary-General for the Great Lakes region;",8034,2717,Conflict parties,['Conflict Parties'],[0],1,0
"Requests the Government of the DRC and the United Nations, within the framework of the Joint Working Group consisting of the Government of the DRC, MONUSCO and the UN Country team to provide by June 30th 2024, in coordination with relevant stakeholders, including in liaison with civil society, an update on the implementation of the comprehensive disengagement plan, and proposals for the next steps of the gradual, responsible and sustainable withdrawal of the mission;",8039,2717,Govt,['Government'],[0],1,0
"Stresses the need to carry out all operations, joint or unilateral, in strict compliance with international law, including international humanitarian law and international human rights law, as applicable, requests MONUSCO to ensure that any support provided to operations conducted by national security forces, including in the form of rations and fuel, should be only for joint operations, jointly planned and executed, and subject to appropriate oversight and scrutiny, and in strict compliance with the United Nations HRDDP, including by the UNCT, failing which that support should be suspended;",8048,2717,PK,['Peacekeeping'],[0],1,0
Decides to extend the present mandate of UNIFIL until 31 August 2022;,8091,2591,UNIFIL,['Peacekeeping'],[0],1,0
"Commends UNIFILs operational changes in line with resolution 2373 (2017) and resolution 2433 (2018) and reiterates its request that the Secretary- General look at ways to enhance UNIFILs efforts as regards paragraph 12 of resolution 1701 (2006) and paragraph 14 of this resolution, including ways to increase UNIFILs visible presence, including through patrols and inspections, within its existing mandate and capabilities;",8101,2591,SG,['Secretary General'],[0],1,0
"Requests the European Union, the Secretary-General and the Governments of Chad and the Central African Republic to cooperate closely throughout the period of deployment of the European Union operation, until its complete disengagement;",8232,1778,EU,['Regional Organizations'],[0],1,0
"Requests the European Union to report to the Security Council, in the middle and at the end of the period referred to in paragraph 6, subparagraph a, above, on how its operation will fulfil its mandate;",8235,1778,EU,['Regional Organizations'],[0],1,0
"Urges all the Member States, particularly the States bordering Chad and the Central African Republic, to facilitate the delivery to Chad and the Central African Republic freely, without obstacles or delay of all personnel, equipment, provisions, supplies and other goods, including vehicles and spare parts, intended for MINURCAT and the European Union operation;",8237,1778,Member States,['Member States'],[0],1,0
